DateTime,Open,High,Low,Close
2020-09-07 05:00:00,44167,44167,44075,44164
2020-09-07 06:00:00,44164,44203,44077,44196
2020-09-07 07:00:00,44196,44198,43775,43999
2020-09-07 08:00:00,43999,44204,43782,44198
2020-09-07 09:00:00,44162,44162,43984,43985
2020-09-07 10:00:00,43985,44190,43985,44032
2020-09-07 11:00:00,44032,44474,43902,43961
2020-09-07 12:00:00,43961,44321,43853,43998
2020-09-07 13:00:00,43891,43998,43539,43919
2020-09-07 14:00:00,43915,43915,43475,43506
2020-09-07 15:00:00,43506,43506,43228,43452
2020-09-07 16:00:00,43420,44174,43203,43790
2020-09-07 17:00:00,43697,43940,43500,43744
2020-09-07 18:00:00,43806,43817,43209,43386
2020-09-07 19:00:00,43300,43850,42800,43073
2020-09-07 20:00:00,43074,43090,42650,42654
2020-09-07 21:00:00,42690,43000,42500,43000
2020-09-07 22:00:00,42999,43099,42500,42521
2020-09-07 23:00:00,42756,43001,42520,43000
2020-09-08 00:00:00,43001,43699,43000,43699
2020-09-08 01:00:00,43600,43698,43078,43698
2020-09-08 02:00:00,43531,43695,43531,43693
2020-09-08 03:00:00,43693,43693,43474,43479
2020-09-08 04:00:00,43162,43162,43160,43162
2020-09-08 05:00:00,43177,43262,43168,43235
2020-09-08 06:00:00,43193,43798,43161,43798
2020-09-08 07:00:00,43798,43800,43170,43800
2020-09-08 08:00:00,43787,43787,43343,43546
2020-09-08 09:00:00,43546,43627,43358,43576
2020-09-08 10:00:00,43576,43627,43576,43627
2020-09-08 11:00:00,43626,43627,43576,43577
2020-09-08 12:00:00,43577,43626,43575,43576
2020-09-08 13:00:00,43576,43627,43367,43563
2020-09-08 14:00:00,43563,43707,43488,43697
2020-09-08 15:00:00,43697,43706,43408,43504
2020-09-08 16:00:00,43505,43706,43366,43366
2020-09-08 17:00:00,43366,43591,43089,43151
2020-09-08 18:00:00,43150,43151,42608,42867
2020-09-08 19:00:00,42867,42953,42400,42565
2020-09-08 20:00:00,42565,42875,42310,42579
2020-09-08 21:00:00,42580,43124,42363,42510
2020-09-08 22:00:00,42510,43400,42510,42946
2020-09-08 23:00:00,42946,42946,42830,42855
2020-09-09 00:00:00,42936,43135,42826,43076
2020-09-09 01:00:00,43076,43076,42838,42971
2020-09-09 02:00:00,42971,42971,42500,42500
2020-09-09 03:00:00,42358,43134,42358,42441
2020-09-09 04:00:00,42899,42899,42625,42625
2020-09-09 05:00:00,42625,42626,42625,42625
2020-09-09 06:00:00,42626,42626,42352,42428
2020-09-09 07:00:00,42426,42900,42426,42596
2020-09-09 08:00:00,42597,43000,42365,42892
2020-09-09 09:00:00,42888,42888,42671,42864
2020-09-09 10:00:00,42864,42870,42440,42440
2020-09-09 11:00:00,42480,42800,42300,42700
